year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_p90,actualPoints
2025,1,1,Trevor,Baptiste,ATL,CAN,FO,45,82.54241579637514,22.2
2025,1,1,Jeff,Teat,ATL,CAN,A,50,82.81952751697867,53.0
2025,1,1,Connor,Shellenberger,ATL,CAN,A,48,73.30583201913659,39.0
2025,1,1,Chayse,Ierlan,RED,OUT,G,11,41.39151904982904,18.0
2025,1,1,Ryan,Drenner,CAN,ATL,M,22,40.35918389297844,46.0
2025,1,1,Owen,Grant,CAN,ATL,D,5,44.65892465923989,22.0
2025,1,1,Graham,Bundy,OUT,RED,M,18,38.4832984525833,10.0
2025,1,2,Trevor,Baptiste,ATL,CAN,FO,45,82.54241579637514,22.2
2025,1,2,Jeff,Teat,ATL,CAN,A,50,82.81952751697867,53.0
2025,1,2,Asher,Nolting,CAN,ATL,A,47,70.22860221461579,36.0
2025,1,2,Chayse,Ierlan,RED,OUT,G,11,41.39151904982904,18.0
2025,1,2,Ryan,Drenner,CAN,ATL,M,22,40.35918389297844,46.0
2025,1,2,Owen,Grant,CAN,ATL,D,5,44.65892465923989,22.0
2025,1,2,Graham,Bundy,OUT,RED,M,18,38.4832984525833,10.0
2025,1,3,Trevor,Baptiste,ATL,CAN,FO,45,82.54241579637514,22.2
2025,1,3,Jeff,Teat,ATL,CAN,A,50,82.81952751697867,53.0
2025,1,3,Connor,Shellenberger,ATL,CAN,A,48,73.30583201913659,39.0
2025,1,3,Chayse,Ierlan,RED,OUT,G,11,41.39151904982904,18.0
2025,1,3,Owen,Grant,CAN,ATL,D,5,44.65892465923989,22.0
2025,1,3,Graham,Bundy,OUT,RED,M,18,38.4832984525833,10.0
2025,1,3,Garrett,Degnon,CHA,ATL,M,21,35.78409046217517,12.0
2025,1,4,Trevor,Baptiste,ATL,CAN,FO,45,82.54241579637514,22.2
2025,1,4,Jeff,Teat,ATL,CAN,A,50,82.81952751697867,53.0
2025,1,4,Connor,Shellenberger,ATL,CAN,A,48,73.30583201913659,39.0
2025,1,4,Will,Mark,ATL,CAN,G,4,35.847102434522704,0.0
2025,1,4,Ryan,Drenner,CAN,ATL,M,22,40.35918389297844,46.0
2025,1,4,Owen,Grant,CAN,ATL,D,5,44.65892465923989,22.0
2025,1,4,Graham,Bundy,OUT,RED,M,18,38.4832984525833,10.0
2025,1,5,Trevor,Baptiste,ATL,CAN,FO,45,82.54241579637514,22.2
2025,1,5,Jeff,Teat,ATL,CAN,A,50,82.81952751697867,53.0
2025,1,5,Connor,Shellenberger,ATL,CAN,A,48,73.30583201913659,39.0
2025,1,5,Chayse,Ierlan,RED,OUT,G,11,41.39151904982904,18.0
2025,1,5,Ryan,Drenner,CAN,ATL,M,22,40.35918389297844,46.0
2025,1,5,Owen,Grant,CAN,ATL,D,5,44.65892465923989,22.0
2025,1,5,Connor,Kirst,CAN,ATL,M,15,30.94107139615412,-2.7
2025,2,1,Blaze,Riorden,CHA,RED,G,48,66.3006790392877,35.0
2025,2,1,Jackson,Eicher,CHA,RED,A,27,86.56939596545409,1.0
2025,2,1,Chris,Kavanagh,RED,CHA,A,35,86.60916035695317,48.0
2025,2,1,Ben,Ramsey,CAN,ARC,D,24,97.5,13.0
2025,2,1,JJ,Sillstrop,CHA,RED,M,25,84.45700233477407,0.0
2025,2,1,Andrew,McAdorey,RED,CHA,M,27,63.11789153368304,56.5
2025,2,1,Mike,Sisselberger,ARC,CAN,FO,11,33.25142153255403,5.4
2025,2,2,Jackson,Eicher,CHA,RED,A,27,86.56939596545409,1.0
2025,2,2,Chris,Kavanagh,RED,CHA,A,35,86.60916035695317,48.0
2025,2,2,Brett,Dobson,ARC,CAN,G,50,61.70508252367694,39.0
2025,2,2,Ben,Ramsey,CAN,ARC,D,24,97.5,13.0
2025,2,2,JJ,Sillstrop,CHA,RED,M,25,84.45700233477407,0.0
2025,2,2,Andrew,McAdorey,RED,CHA,M,27,63.11789153368304,56.5
2025,2,2,Mike,Sisselberger,ARC,CAN,FO,11,33.25142153255403,5.4
2025,2,3,Jackson,Eicher,CHA,RED,A,27,86.56939596545409,1.0
2025,2,3,Chris,Kavanagh,RED,CHA,A,35,86.60916035695317,48.0
2025,2,3,Colin,Kirst,CAN,ARC,G,24,46.539907625684585,48.0
