year,week,lineup_rank,firstName,lastName,position,salary,eventId,actualPoints
2026,1,1,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,1,TJ,Malone,A,43,2026-ev-4,27.0
2026,1,1,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,1,Andrew,McAdorey,M,25,2026-ev-1,19.0
2026,1,1,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,1,Mike,Sisselberger,FO,6,2026-ev-3,9.0
2026,1,1,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,2,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,2,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,2,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,2,Andrew,McAdorey,M,25,2026-ev-1,19.0
2026,1,2,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,2,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,2,Mike,Sisselberger,FO,6,2026-ev-3,9.0
2026,1,3,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,3,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,3,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,3,Andrew,McAdorey,M,25,2026-ev-1,19.0
2026,1,3,Ross,Scott,M,17,2026-ev-2,17.0
2026,1,3,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,3,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,4,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,4,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,4,Aidan,Carroll,A,39,2026-ev-4,39.0
2026,1,4,Andrew,McAdorey,M,25,2026-ev-1,19.0
2026,1,4,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,4,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,4,Mike,Sisselberger,FO,6,2026-ev-3,9.0
2026,1,5,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,5,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,5,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,5,Andrew,McAdorey,M,25,2026-ev-1,19.0
2026,1,5,Ross,Scott,M,17,2026-ev-2,17.0
2026,1,5,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,5,Mike,Sisselberger,FO,6,2026-ev-3,9.0
