year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Dylan,Molloy,A,23,2025-ev-2,40.0
2025,1,Connor,Shellenberger,A,47,2025-ev-1,19.0
2025,1,Eric,Dobson,M,8,2025-ev-1,-2.0
2025,1,Dalton,Young,M,17,2025-ev-2,7.0
2025,1,Ben,Ramsey,D,2,2025-ev-4,48.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Owen,McElroy,G,41,2025-ev-2,19.0
2025,2,Matt,DeLuca,G,24,2025-ev-6,35.0
2025,2,Kieran,McArdle,A,48,2025-ev-6,59.0
2025,2,Michael,Sowers,A,49,2025-ev-6,71.0
2025,2,Nick,Rowlett,FO,4,2025-ev-8,6.0
2025,2,Jack,VanOverbeke,M,9,2025-ev-5,2.0
2025,2,Romar,Dennis,M,21,2025-ev-8,10.0
2025,2,Zach,Goodrich,D,3,2025-ev-7,12.0
2025,3,Michael,Sowers,A,50,2025-ev-9,75.0
2025,3,Brendan,Krebs,G,13,2025-ev-11,26.0
2025,3,Jeff,Teat,A,49,2025-ev-11,4.0
2025,3,Charlie,Bertrand,M,15,2025-ev-10,20.0
2025,3,Zac,Tucci,FO,28,2025-ev-9,11.9
2025,3,Jack,VanOverbeke,M,7,2025-ev-12,0.0
2025,3,Piper,Bond,D,6,2025-ev-10,6.3
2025,4,Blaze,Riorden,G,48,2025-ev-16,0.0
2025,4,Connor,Shellenberger,A,46,2025-ev-13,25.0
2025,4,Jeff,Teat,A,41,2025-ev-13,93.0
2025,4,Mike,Sisselberger,FO,13,2025-ev-15,6.8
2025,4,Sergio,Perkovic,M,9,2025-ev-16,0.0
2025,4,Jack,VanOverbeke,M,4,2025-ev-15,-3.0
2025,4,Jake,Bernhardt,D,3,2025-ev-14,-3.0
2025,5,Josh,Zawada,A,6,2025-ev-20,19.0
2025,5,Adam,Charalambides,A,21,2025-ev-20,3.0
2025,5,Jack,VanOverbeke,M,3,2025-ev-17,10.0
2025,5,Sergio,Perkovic,M,3,2025-ev-20,45.0
2025,5,JT,Giles-Harris,D,3,2025-ev-17,6.0
2025,5,Justin,Inacio,FO,10,2025-ev-20,28.0
2025,5,Blaze,Riorden,G,43,2025-ev-20,57.0
2025,7,Connor,Shellenberger,A,42,2025-ev-23,70.0
2025,7,Jeff,Teat,A,41,2025-ev-23,55.0
2025,7,Liam,Entenmann,G,44,2025-ev-23,22.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Jack,VanOverbeke,M,4,2025-ev-26,-9.0
2025,7,Sergio,Perkovic,M,26,2025-ev-25,-3.0
2025,7,Matt,Whitcher,D,6,2025-ev-24,0.0
2025,8,Logan,Wisnauskas,A,24,2025-ev-29,7.0
2025,8,Pat,Kavanagh,A,50,2025-ev-29,49.0
2025,8,Connor,Kelly,M,20,2025-ev-30,1.0
2025,8,Sergio,Perkovic,M,20,2025-ev-28,8.0
2025,8,Tyler,Carpenter,D,11,2025-ev-27,12.0
2025,8,Alec,Stathakis,FO,22,2025-ev-30,4.4
2025,8,Logan,McNaney,G,46,2025-ev-29,35.0
2025,9,Jeff,Teat,A,44,2025-ev-32,51.0
2025,9,Connor,Shellenberger,A,49,2025-ev-32,30.0
2025,9,Sergio,Perkovic,M,16,2025-ev-33,10.0
2025,9,Connor,Kelly,M,16,2025-ev-33,38.0
2025,9,Dylan,Hess,D,6,2025-ev-33,13.0
2025,9,Justin,Inacio,FO,23,2025-ev-33,18.0
2025,9,Liam,Entenmann,G,41,2025-ev-32,59.0
2025,10,Matt,DeLuca,G,27,2025-ev-36,15.0
2025,10,Jackson,Eicher,A,23,2025-ev-35,37.0
2025,10,CJ,Kirst,A,4,2025-ev-36,66.0
2025,10,JJ,Sillstrop,M,11,2025-ev-35,1.0
2025,10,Dalton,Young,M,21,2025-ev-38,10.0
2025,10,Luke,Wierman,FO,17,2025-ev-35,39.0
2025,10,Max,Krevsky,D,3,2025-ev-38,10.0
2025,11,Jeff,Teat,A,45,2025-ev-41,41.0
2025,11,Marcus,Holman,A,32,2025-ev-42,8.0
2025,11,JJ,Sillstrop,M,8,2025-ev-40,0.0
2025,11,Andrew,McAdorey,M,29,2025-ev-39,43.3
2025,11,Levi,Verch,D,3,2025-ev-40,11.0
2025,11,TD,Ierlan,FO,24,2025-ev-39,31.8
2025,11,Liam,Entenmann,G,46,2025-ev-41,15.0
2025,12,Matt,DeLuca,G,32,2025_quarterfinal_1,14.0
2025,12,Kieran,McArdle,A,38,2025_quarterfinal_1,64.0
2025,12,CJ,Kirst,A,6,2025_quarterfinal_1,54.0
