year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Matt,Moore,A,15,2025-ev-3,17.0
2025,1,Logan,Wisnauskas,A,20,2025-ev-2,42.0
2025,1,Garrett,Degnon,M,21,2025-ev-1,12.0
2025,1,Eric,Dobson,M,8,2025-ev-1,-2.0
2025,1,Owen,Grant,D,5,2025-ev-4,22.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Owen,McElroy,G,41,2025-ev-2,19.0
2025,2,Dylan,Molloy,A,29,2025-ev-8,64.0
2025,2,Michael,Sowers,A,49,2025-ev-6,71.0
2025,2,Eric,Dobson,M,7,2025-ev-8,-6.0
2025,2,Garrett,Degnon,M,24,2025-ev-8,8.0
2025,2,Piper,Bond,D,6,2025-ev-7,4.0
2025,2,Nick,Rowlett,FO,5,2025-ev-5,14.5
2025,2,Matt,DeLuca,G,24,2025-ev-6,35.0
2025,3,Kieran,McArdle,A,48,2025-ev-9,27.0
2025,3,Michael,Boehm,A,5,2025-ev-12,1.0
2025,3,Dillon,Ward,G,22,2025-ev-9,15.0
2025,3,Charlie,Bertrand,M,15,2025-ev-10,20.0
2025,3,Connor,Kelly,M,28,2025-ev-9,12.0
2025,3,Alec,Stathakis,FO,12,2025-ev-9,7.7
2025,3,Jared,Conners,D,9,2025-ev-10,12.0
2025,4,Logan,Wisnauskas,A,28,2025-ev-15,21.0
2025,4,Brennan,O'Neill,A,40,2025-ev-15,18.0
2025,4,Matt,Brandau,M,10,2025-ev-16,65.0
2025,4,Shane,Knobloch,M,13,2025-ev-16,26.0
2025,4,Matt,Whitcher,D,4,2025-ev-13,22.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,Logan,McNaney,G,36,2025-ev-15,41.0
2025,5,Logan,McNaney,G,41,2025-ev-17,44.0
2025,5,Logan,Wisnauskas,A,21,2025-ev-17,25.0
2025,5,Brennan,O'Neill,A,37,2025-ev-17,33.0
2025,5,TD,Ierlan,FO,37,2025-ev-19,12.1
2025,5,Connor,Kelly,M,16,2025-ev-19,9.0
