year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Matt,Moore,A,15,2025-ev-3,17.0
2025,1,Mac,O'Keefe,A,40,2025-ev-3,1.0
2025,1,Dalton,Young,M,17,2025-ev-2,7.0
2025,1,Matt,Campbell,M,37,2025-ev-4,30.0
2025,1,Chris,Fake,D,4,2025-ev-2,10.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Liam,Entenmann,G,42,2025-ev-1,40.0
2025,2,Owen,McElroy,G,24,2025-ev-5,10.0
2025,2,Brennan,O'Neill,A,44,2025-ev-5,38.0
2025,2,Matt,Moore,A,23,2025-ev-7,15.0
2025,2,Mike,Sisselberger,FO,11,2025-ev-7,5.4
2025,2,Eric,Dobson,M,8,2025-ev-5,-6.0
2025,2,Tom,Schreiber,M,39,2025-ev-7,12.0
2025,2,Chris,Fake,D,5,2025-ev-8,3.0
2025,3,Matt,Moore,A,18,2025-ev-10,30.0
2025,3,Connor,Fields,A,42,2025-ev-10,9.0
2025,3,Connor,Kelly,M,28,2025-ev-9,12.0
2025,3,Jared,Bernhardt,M,15,2025-ev-12,1.0
2025,3,Max,Krevsky,D,2,2025-ev-11,-6.0
2025,3,Luke,Wierman,FO,21,2025-ev-12,10.2
2025,3,Brett,Dobson,G,46,2025-ev-10,24.0
2025,4,Matt,Rambo,A,11,2025-ev-14,0.0
2025,4,Brennan,O'Neill,A,40,2025-ev-15,18.0
2025,4,Ross,Scott,M,19,2025-ev-16,-3.0
2025,4,Shane,Knobloch,M,13,2025-ev-16,26.0
2025,4,Scott,Smith,D,18,2025-ev-16,11.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,Blaze,Riorden,G,48,2025-ev-16,0.0
2025,5,Chris,Kavanagh,A,42,2025-ev-17,33.0
2025,5,Ryder,Garnsey,A,32,2025-ev-19,1.0
2025,5,Chayse,Ierlan,G,30,2025-ev-17,17.0
2025,5,Trevor,Baptiste,FO,33,2025-ev-18,40.7
2025,5,Ross,Scott,M,15,2025-ev-20,32.0
2025,5,JJ,Sillstrop,M,21,2025-ev-20,1.0
2025,5,Ben,Ramsey,D,21,2025-ev-20,14.0
2025,7,Adam,Charalambides,A,18,2025-ev-25,8.0
2025,7,Josh,Zawada,A,15,2025-ev-25,14.0
2025,7,Tom,Schreiber,M,22,2025-ev-24,38.0
2025,7,Jared,Bernhardt,M,15,2025-ev-26,32.0
2025,7,Michael,Rexrode,D,4,2025-ev-23,11.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Blaze,Riorden,G,44,2025-ev-25,48.0
2025,8,Adam,Charalambides,A,20,2025-ev-28,6.0
2025,8,Owen,Hiltz,A,35,2025-ev-28,71.0
2025,8,Ross,Scott,M,25,2025-ev-28,18.0
2025,8,JJ,Sillstrop,M,20,2025-ev-28,0.0
2025,8,Arden,Cohen,D,29,2025-ev-27,1.0
2025,8,Justin,Inacio,FO,25,2025-ev-28,12.7
2025,8,Emmet,Carroll,G,40,2025-ev-30,41.0
2025,9,Nick,Washuta,G,2,2025-ev-34,0.0
2025,9,Mac,O'Keefe,A,17,2025-ev-34,10.0
2025,9,Connor,Fields,A,29,2025-ev-34,12.0
2025,9,TD,Ierlan,FO,29,2025-ev-31,13.4
2025,9,Colin,Heacock,M,20,2025-ev-32,10.0
2025,9,Ross,Scott,M,24,2025-ev-33,33.0
2025,9,Carter,Rice,D,4,2025-ev-31,22.0
2025,10,Jackson,Eicher,A,23,2025-ev-35,37.0
2025,10,Adam,Charalambides,A,16,2025-ev-35,14.0
2025,10,Jared,Bernhardt,M,15,2025-ev-38,36.0
2025,10,Andrew,McAdorey,M,28,2025-ev-37,16.0
2025,10,Max,Krevsky,D,3,2025-ev-38,10.0
2025,10,Trevor,Baptiste,FO,24,2025-ev-38,6.9
2025,10,Blaze,Riorden,G,47,2025-ev-35,52.0
