year,week,lineup_rank,firstName,lastName,position,salary,eventId,actualPoints
2026,1,1,Emmet,Carroll,G,44,2026-ev-4,13.0
2026,1,1,Michael,Sowers,A,50,2026-ev-4,51.0
2026,1,1,Sam,King,A,25,2026-ev-1,9.0
2026,1,1,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,1,Bryan,Costabile,M,20,2026-ev-2,65.0
2026,1,1,Brian,Tevlin,D,16,2026-ev-1,20.0
2026,1,1,Adam,Poitras,M,13,2026-ev-4,12.0
2026,1,2,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,2,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,2,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,2,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,2,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,2,Jared,Bernhardt,M,18,2026-ev-3,19.0
2026,1,2,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,3,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,3,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,3,TJ,Malone,A,43,2026-ev-4,27.0
2026,1,3,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,3,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,3,Jack,Hannah,M,11,2026-ev-4,40.0
2026,1,3,Greg,Weyl,D,2,2026-ev-3,10.0
2026,1,4,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,4,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,4,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,4,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,4,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,4,Mason,Woodward,D,16,2026-ev-1,2.0
2026,1,4,Jonathan,Donville,M,5,2026-ev-3,18.0
2026,1,5,Liam,Entenmann,G,47,2026-ev-2,47.0
2026,1,5,Connor,Shellenberger,A,47,2026-ev-2,29.0
2026,1,5,Kieran,McArdle,A,35,2026-ev-4,24.0
2026,1,5,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,5,TD,Ierlan,FO,23,2026-ev-1,12.5
2026,1,5,Jack,Hannah,M,11,2026-ev-4,40.0
2026,1,5,Greg,Weyl,D,2,2026-ev-3,10.0
2026,2,1,Michael,Sowers,A,50,2026-ev-8,22.0
2026,2,1,Emmet,Carroll,G,34,2026-ev-6,55.0
2026,2,1,Andrew,McAdorey,M,23,2026-ev-7,10.0
2026,2,1,Coulter,Mackesy,A,26,2026-ev-5,82.0
2026,2,1,TD,Ierlan,FO,18,2026-ev-7,8.1
2026,2,1,Bryan,Costabile,M,28,2026-ev-6,10.0
2026,2,1,Brian,Tevlin,D,17,2026-ev-7,4.0
2026,2,2,Liam,Entenmann,G,48,2026-ev-6,38.0
2026,2,2,Connor,Shellenberger,A,46,2026-ev-6,10.0
2026,2,2,TJ,Malone,A,32,2026-ev-6,8.0
2026,2,2,Andrew,McAdorey,M,23,2026-ev-7,10.0
2026,2,2,Zach,Currier,M,16,2026-ev-8,24.6
2026,2,2,Ethan,Rall,D,17,2026-ev-5,23.0
