year,week,firstName,lastName,position,salary,eventId,actualPoints
2026,7,Brett,Dobson,G,37,2026-ev-27,0.0
2026,7,Michael,Sowers,A,46,2026-ev-25,0.0
2026,7,CJ,Kirst,A,33,2026-ev-25,0.0
2026,7,Andrew,McAdorey,M,24,2026-ev-25,0.0
2026,7,Ross,Scott,M,20,2026-ev-26,0.0
2026,7,Ethan,Rall,D,18,2026-ev-28,0.0
2026,7,TD,Ierlan,FO,21,2026-ev-25,0.0
2026,6,Joey,Spallina,A,24,2026-ev-21,48.0
2026,6,Pat,Kavanagh,A,41,2026-ev-21,64.0
2026,6,Zach,Currier,M,23,2026-ev-23,6.8
2026,6,Andrew,McAdorey,M,24,2026-ev-24,-2.2
2026,6,Ajax,Zappitello,D,25,2026-ev-21,19.0
2026,6,Mike,Sisselberger,FO,8,2026-ev-23,24.0
2026,6,Brett,Dobson,G,48,2026-ev-23,39.0
