year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Owen,McElroy,G,41,2025-ev-2,19.0
2025,1,TJ,Malone,A,49,2025-ev-3,30.0
2025,1,Matt,Moore,A,15,2025-ev-3,17.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Kyle,Jackson,M,9,2025-ev-4,20.0
2025,1,Dalton,Young,M,17,2025-ev-2,7.0
2025,1,Owen,Grant,D,5,2025-ev-4,22.0
2025,2,Blaze,Riorden,G,48,2025-ev-8,35.0
2025,2,Kieran,McArdle,A,48,2025-ev-6,59.0
2025,2,Dylan,Molloy,A,29,2025-ev-8,64.0
2025,2,Joseph,Nardella,FO,27,2025-ev-6,14.9
2025,2,Eric,Dobson,M,7,2025-ev-8,-6.0
2025,2,Garrett,Degnon,M,24,2025-ev-8,8.0
2025,2,Ray,Dearth,D,4,2025-ev-5,-1.0
2025,3,Kieran,McArdle,A,48,2025-ev-9,27.0
2025,3,Connor,Fields,A,42,2025-ev-10,9.0
2025,3,Dillon,Ward,G,22,2025-ev-9,15.0
2025,3,Connor,Kelly,M,28,2025-ev-9,12.0
2025,3,Jack,Hannah,M,30,2025-ev-12,4.0
2025,3,Luke,Wierman,FO,21,2025-ev-12,10.2
2025,3,Ben,Wayer,D,7,2025-ev-9,3.0
2025,4,Brett,Dobson,G,44,2025-ev-15,32.0
2025,4,TJ,Malone,A,46,2025-ev-16,7.0
2025,4,Brennan,O'Neill,A,40,2025-ev-15,18.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,Matt,Brandau,M,10,2025-ev-16,65.0
2025,4,Shane,Knobloch,M,13,2025-ev-16,26.0
2025,4,Colin,Squires,D,11,2025-ev-16,14.0
2025,5,Logan,McNaney,G,41,2025-ev-17,44.0
2025,5,Michael,Sowers,A,50,2025-ev-19,42.0
2025,5,Logan,Wisnauskas,A,21,2025-ev-17,25.0
2025,5,Shane,Knobloch,M,25,2025-ev-20,7.0
2025,5,Zach,Currier,M,19,2025-ev-19,10.5
2025,5,Trevor,Baptiste,FO,33,2025-ev-18,40.7
2025,5,Brendan,Lavelle,D,7,2025-ev-18,1.0
2025,7,Connor,Shellenberger,A,42,2025-ev-23,70.0
2025,7,Emmet,Carroll,G,40,2025-ev-26,40.0
2025,7,Rob,Pannell,A,32,2025-ev-26,10.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Bryan,Costabile,M,31,2025-ev-23,11.0
2025,7,Hugh,Kelleher,M,5,2025-ev-23,18.0
2025,7,Brendan,Lavelle,D,8,2025-ev-24,3.0
2025,8,Emmet,Carroll,G,40,2025-ev-30,41.0
2025,8,Xander,Dickson,A,35,2025-ev-27,49.0
2025,8,Jeff,Teat,A,42,2025-ev-27,56.0
2025,8,Justin,Inacio,FO,25,2025-ev-28,12.7
2025,8,Zach,Currier,M,18,2025-ev-30,32.0
2025,8,Connor,Kelly,M,20,2025-ev-30,1.0
2025,8,Brian,Tevlin,D,15,2025-ev-27,17.8
2025,9,Brett,Dobson,G,40,2025-ev-31,45.0
2025,9,Jeff,Teat,A,44,2025-ev-32,51.0
2025,9,Connor,Shellenberger,A,49,2025-ev-32,30.0
2025,9,TD,Ierlan,FO,29,2025-ev-31,13.4
2025,9,Zach,Currier,M,19,2025-ev-33,25.5
2025,9,Dox,Aitken,M,9,2025-ev-32,-3.0
2025,9,Colin,Squires,D,8,2025-ev-32,13.0
2025,10,Logan,McNaney,G,41,2025-ev-38,40.0
2025,10,Jeff,Teat,A,47,2025-ev-38,25.0
2025,10,Connor,Shellenberger,A,49,2025-ev-38,45.0
2025,10,Jack,Hannah,M,21,2025-ev-36,-1.0
2025,10,Trevor,Baptiste,FO,24,2025-ev-38,6.9
2025,10,Jared,Bernhardt,M,15,2025-ev-35,21.0
2025,10,Greg,Weyl,D,3,2025-ev-35,0.0
2025,11,Brett,Dobson,G,44,2025-ev-40,39.0
2025,11,Asher,Nolting,A,36,2025-ev-42,53.0
2025,11,Marcus,Holman,A,34,2025-ev-39,32.0
2025,11,Trevor,Baptiste,FO,23,2025-ev-41,63.8
2025,11,Zach,Currier,M,16,2025-ev-41,13.5
2025,11,Matt,Brandau,M,28,2025-ev-42,47.0
2025,11,Garrett,Epple,D,16,2025-ev-42,0.0
2025,12,Kieran,McArdle,A,38,2025_quarterfinal_1,64.0
2025,12,Rob,Pannell,A,28,2025_quarterfinal_1,38.0
2025,12,Adam,Poitras,M,20,2025_quarterfinal_1,11.0
2025,12,Zach,Currier,M,22,2025_quarterfinal_1,12.6
2025,12,Jarrod,Neumann,D,9,2025_quarterfinal_2,1.0
2025,12,Joseph,Nardella,FO,26,2025_quarterfinal_1,20.0
2025,12,Emmet,Carroll,G,31,2025_quarterfinal_1,25.0
2025,13,Jeff,Teat,A,46,2025_semifinal_2,47.0
2025,13,Liam,Entenmann,G,43,2025_semifinal_2,56.0
2025,13,Chris,Kavanagh,A,36,2025_semifinal_1,18.0
2025,13,Trevor,Baptiste,FO,33,2025_semifinal_2,8.0
2025,13,Jared,Bernhardt,M,15,2025_semifinal_1,15.0
2025,13,Jonathan,Donville,M,10,2025_semifinal_1,8.0
2025,13,Dylan,Hess,D,6,2025_semifinal_2,0.0
2025,14,Liam,Entenmann,G,43,2025_championship_game,39.0
2025,14,Jeff,Teat,A,46,2025_championship_game,71.0
2025,14,Logan,Wisnauskas,A,24,2025_championship_game,19.0
2025,14,Jared,Bernhardt,M,15,2025_championship_game,22.0
2025,14,Trevor,Baptiste,FO,33,2025_championship_game,23.6
2025,14,Matt,Traynor,M,22,2025_championship_game,33.0
2025,14,Michael,Rexrode,D,10,2025_championship_game,13.0
2026,1,Jackson,Eicher,A,26,2026-ev-2,27.0
2026,1,Rob,Pannell,A,28,2026-ev-4,41.0
2026,1,Nick,Washuta,G,14,2026-ev-3,36.0
2026,1,Matt,Brandau,M,27,2026-ev-4,56.0
2026,1,Matt,Traynor,M,25,2026-ev-2,7.0
2026,1,Luke,Wierman,FO,20,2026-ev-3,17.7
2026,1,Jake,Piseno,D,26,2026-ev-3,23.0
2026,2,Coulter,Mackesy,A,26,2026-ev-5,82.0
2026,2,Marcus,Holman,A,28,2026-ev-5,21.0
2026,2,Logan,McNaney,G,38,2026-ev-7,51.0
2026,2,Jack,Hannah,M,21,2026-ev-8,-6.0
2026,2,Connor,Farrell,FO,15,2026-ev-8,11.6
2026,2,Justin,Anderson,M,11,2026-ev-7,27.0
2026,2,Alexander,Smith,D,9,2026-ev-7,1.0
2026,3,Brett,Dobson,G,45,2026-ev-11,34.0
2026,3,Owen,Hiltz,A,39,2026-ev-12,11.0
2026,3,Marcus,Holman,A,39,2026-ev-9,18.0
2026,3,Mikey,Weisshaar,M,12,2026-ev-9,7.0
2026,3,Luke,Wierman,FO,17,2026-ev-10,11.5
2026,3,Matt,Brandau,M,24,2026-ev-11,4.0
2026,3,Mitchell,Dunham,D,14,2026-ev-11,1.0
2026,4,Brendan,Nichtern,A,27,2026-ev-13,-9.0
2026,4,Logan,McNaney,G,43,2026-ev-15,46.0
