year,week,lineup_rank,firstName,lastName,position,salary,eventId,actualPoints
2025,1,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,1,Blaze,Riorden,G,48,2025-ev-1,38.0
2025,1,1,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,1,Will,Manny,A,7,2025-ev-4,44.0
2025,1,1,Ryan,Drenner,M,22,2025-ev-4,46.0
2025,1,1,Brad,Smith,M,20,2025-ev-3,8.0
2025,1,1,Owen,Grant,D,5,2025-ev-4,22.0
2025,1,2,Graydon,Hogg,A,4,2025-ev-4,0.0
2025,1,2,Chris,Kavanagh,A,8,2025-ev-2,0.0
2025,1,2,Matt,Traynor,M,7,2025-ev-1,0.0
2025,1,2,Dyson,Williams,M,7,2025-ev-3,0.0
2025,1,2,Carter,Rice,D,2,2025-ev-2,0.0
2025,1,2,Nick,Rowlett,FO,6,2025-ev-1,0.0
2025,1,2,Will,Mark,G,4,2025-ev-4,0.0
2025,1,3,Graydon,Hogg,A,4,2025-ev-4,0.0
2025,1,3,Chris,Kavanagh,A,8,2025-ev-2,0.0
2025,1,3,Matt,Traynor,M,7,2025-ev-1,0.0
2025,1,3,Dyson,Williams,M,7,2025-ev-3,0.0
2025,1,3,Ryan,Terefenko,D,8,2025-ev-2,0.0
2025,1,3,Nick,Rowlett,FO,6,2025-ev-1,0.0
2025,1,3,Will,Mark,G,4,2025-ev-4,0.0
2025,1,4,Graydon,Hogg,A,4,2025-ev-4,0.0
2025,1,4,Chris,Kavanagh,A,8,2025-ev-2,0.0
2025,1,4,Matt,Traynor,M,7,2025-ev-1,0.0
2025,1,4,Dyson,Williams,M,7,2025-ev-3,0.0
2025,1,4,Jack,Posey,D,3,2025-ev-1,0.0
2025,1,4,Nick,Rowlett,FO,6,2025-ev-1,0.0
2025,1,4,Will,Mark,G,4,2025-ev-4,0.0
2025,1,5,Graydon,Hogg,A,4,2025-ev-4,0.0
2025,1,5,Chris,Kavanagh,A,8,2025-ev-2,0.0
2025,1,5,Matt,Traynor,M,7,2025-ev-1,0.0
2025,1,5,Dyson,Williams,M,7,2025-ev-3,0.0
2025,1,5,Mark,Glicini,D,8,2025-ev-1,0.0
2025,1,5,Nick,Rowlett,FO,6,2025-ev-1,0.0
2025,1,5,Will,Mark,G,4,2025-ev-4,0.0
2025,2,1,Blaze,Riorden,G,48,2025-ev-8,35.0
2025,2,1,Jackson,Eicher,A,27,2025-ev-8,1.0
2025,2,1,Chris,Kavanagh,A,35,2025-ev-8,48.0
2025,2,1,Ben,Ramsey,D,24,2025-ev-7,13.0
2025,2,1,JJ,Sillstrop,M,25,2025-ev-8,0.0
2025,2,1,Andrew,McAdorey,M,27,2025-ev-8,56.5
2025,2,1,Mike,Sisselberger,FO,11,2025-ev-7,5.4
2025,2,2,Adam,Charalambides,A,2,2025-ev-8,0.0
2025,2,2,Coulter,Mackesy,A,6,2025-ev-7,0.0
2025,2,2,Aidan,Danenza,M,4,2025-ev-8,0.0
2025,2,2,Mikie,Schlosser,M,6,2025-ev-6,0.0
2025,2,2,Kenny,Brower,D,2,2025-ev-6,0.0
2025,2,2,Alec,Stathakis,FO,6,2025-ev-6,0.0
2025,2,2,Austin,Kaut,G,5,2025-ev-8,0.0
2025,2,3,Adam,Charalambides,A,2,2025-ev-8,0.0
2025,2,3,Coulter,Mackesy,A,6,2025-ev-7,0.0
2025,2,3,Aidan,Danenza,M,4,2025-ev-8,0.0
2025,2,3,Mikie,Schlosser,M,6,2025-ev-6,0.0
2025,2,3,Greg,Langermeier,D,2,2025-ev-8,0.0
2025,2,3,Alec,Stathakis,FO,6,2025-ev-6,0.0
2025,2,3,Austin,Kaut,G,5,2025-ev-8,0.0
2025,2,4,Adam,Charalambides,A,2,2025-ev-8,0.0
