year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Brett,Dobson,G,49,2025-ev-3,45.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,Will,Manny,A,7,2025-ev-4,44.0
2025,1,Ethan,Rall,D,15,2025-ev-4,37.0
2025,1,Connor,Kirst,M,15,2025-ev-4,-2.7
2025,1,Dalton,Young,M,17,2025-ev-2,7.0
2025,2,Colin,Kirst,G,24,2025-ev-7,48.0
2025,2,TJ,Malone,A,44,2025-ev-6,50.0
2025,2,Zach,Currier,M,41,2025-ev-6,-6.5
2025,2,Joseph,Nardella,FO,27,2025-ev-6,14.9
2025,2,Dylan,Molloy,A,29,2025-ev-8,64.0
2025,2,Jack,Hannah,M,24,2025-ev-6,33.0
2025,2,Bryce,Young,D,9,2025-ev-7,2.0
2025,3,Jeff,Teat,A,49,2025-ev-11,4.0
2025,3,Michael,Sowers,A,50,2025-ev-9,75.0
2025,3,Dillon,Ward,G,22,2025-ev-9,15.0
2025,3,Zach,Currier,M,27,2025-ev-12,-3.0
2025,3,Grant,Ament,M,20,2025-ev-10,7.0
2025,3,Jesse,Bernhardt,D,11,2025-ev-12,20.0
2025,3,Luke,Wierman,FO,21,2025-ev-12,10.2
2025,4,Brett,Dobson,G,44,2025-ev-15,32.0
2025,4,Jeff,Teat,A,41,2025-ev-13,93.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,TJ,Malone,A,46,2025-ev-16,7.0
2025,4,Zach,Currier,M,19,2025-ev-13,29.0
2025,4,Justin,Anderson,M,8,2025-ev-15,11.0
2025,4,Matthew,Dunn,D,7,2025-ev-16,11.0
2025,5,Jeff,Teat,A,49,2025-ev-18,12.0
2025,5,Michael,Sowers,A,50,2025-ev-19,42.0
2025,5,Colin,Kirst,G,17,2025-ev-20,35.0
2025,5,Trevor,Baptiste,FO,33,2025-ev-18,40.7
2025,5,Zach,Currier,M,19,2025-ev-19,10.5
2025,5,Garrett,Epple,D,25,2025-ev-20,12.0
2025,5,Justin,Anderson,M,6,2025-ev-17,29.0
2025,7,Jeff,Teat,A,41,2025-ev-23,55.0
2025,7,Brett,Dobson,G,41,2025-ev-24,35.0
2025,7,Connor,Shellenberger,A,42,2025-ev-23,70.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Zach,Currier,M,16,2025-ev-24,11.3
2025,7,Tre,Leclaire,M,10,2025-ev-24,23.0
2025,7,Jesse,Bernhardt,D,9,2025-ev-26,9.0
2025,8,Brett,Dobson,G,40,2025-ev-28,45.0
2025,8,Jeff,Teat,A,42,2025-ev-27,56.0
2025,8,TJ,Malone,A,41,2025-ev-30,52.0
2025,8,Trevor,Baptiste,FO,30,2025-ev-27,11.3
2025,8,Zach,Currier,M,18,2025-ev-30,32.0
2025,8,Ben,Randall,D,22,2025-ev-30,1.0
2025,8,Jonathan,Donville,M,2,2025-ev-29,2.0
2025,9,Brett,Dobson,G,40,2025-ev-31,45.0
2025,9,Jeff,Teat,A,44,2025-ev-32,51.0
2025,9,TJ,Malone,A,42,2025-ev-32,12.0
2025,9,Andrew,McAdorey,M,33,2025-ev-31,-6.0
2025,9,Zach,Currier,M,19,2025-ev-33,25.5
2025,9,Luke,Wierman,FO,19,2025-ev-34,25.9
2025,9,Greg,Weyl,D,2,2025-ev-34,1.0
2025,10,Blaze,Riorden,G,47,2025-ev-35,52.0
2025,10,Jeff,Teat,A,47,2025-ev-38,25.0
2025,10,TJ,Malone,A,39,2025-ev-37,27.0
2025,10,Trevor,Baptiste,FO,24,2025-ev-38,6.9
2025,10,Zach,Currier,M,18,2025-ev-36,4.0
2025,10,Ben,Randall,D,17,2025-ev-36,20.0
2025,10,Jonathan,Donville,M,8,2025-ev-35,-6.0
2025,11,Brett,Dobson,G,44,2025-ev-40,39.0
2025,11,Jeff,Teat,A,45,2025-ev-41,41.0
2025,11,TJ,Malone,A,41,2025-ev-42,21.0
2025,11,Trevor,Baptiste,FO,23,2025-ev-41,63.8
2025,11,Zach,Currier,M,16,2025-ev-41,13.5
2025,11,Ethan,Rall,D,21,2025-ev-39,10.0
2025,11,Tre,Leclaire,M,10,2025-ev-40,1.0
2025,12,Blaze,Riorden,G,46,2025_quarterfinal_2,15.0
2025,12,Owen,Hiltz,A,32,2025_quarterfinal_2,39.0
2025,12,Chris,Kavanagh,A,36,2025_quarterfinal_2,45.0
2025,12,Zach,Currier,M,22,2025_quarterfinal_1,12.6
2025,12,Matt,Brandau,M,21,2025_quarterfinal_1,-4.0
2025,12,Joseph,Nardella,FO,26,2025_quarterfinal_1,20.0
2025,12,Brian,Tevlin,D,16,2025_quarterfinal_2,1.0
2025,13,Jeff,Teat,A,46,2025_semifinal_2,47.0
