year,week,lineup_rank,firstName,lastName,team,opponent,position,salary,sim_win160,actualPoints
2025,1,1,Trevor,Baptiste,ATL,CAN,FO,45,0.7703,22.2
2025,1,1,Jeff,Teat,ATL,CAN,A,50,0.857,53.0
2025,1,1,Colin,Kirst,CAN,ATL,G,17,0.7593,33.0
2025,1,1,Tom,Schreiber,ARC,WHP,M,46,0.5652,1.0
2025,1,1,Will,Manny,CAN,ATL,A,7,0.4592,44.0
2025,1,1,Ethan,Rall,CAN,ATL,D,15,0.4534,37.0
2025,1,1,Brad,Smith,WHP,ARC,M,20,0.3763,8.0
2025,1,2,Trevor,Baptiste,ATL,CAN,FO,45,0.7703,22.2
2025,1,2,Jeff,Teat,ATL,CAN,A,50,0.857,53.0
2025,1,2,Colin,Kirst,CAN,ATL,G,17,0.7593,33.0
2025,1,2,Tom,Schreiber,ARC,WHP,M,46,0.5652,1.0
2025,1,2,Will,Manny,CAN,ATL,A,7,0.4592,44.0
2025,1,2,Ethan,Rall,CAN,ATL,D,15,0.4534,37.0
2025,1,2,Graham,Bundy,OUT,RED,M,18,0.3247,10.0
2025,1,3,Trevor,Baptiste,ATL,CAN,FO,45,0.7703,22.2
2025,1,3,Jeff,Teat,ATL,CAN,A,50,0.857,53.0
2025,1,3,Colin,Kirst,CAN,ATL,G,17,0.7593,33.0
2025,1,3,Tom,Schreiber,ARC,WHP,M,46,0.5652,1.0
2025,1,3,Will,Manny,CAN,ATL,A,7,0.4592,44.0
2025,1,3,Ethan,Rall,CAN,ATL,D,15,0.4534,37.0
2025,1,3,Connor,Kirst,CAN,ATL,M,15,0.3183,-2.7
2025,1,4,Trevor,Baptiste,ATL,CAN,FO,45,0.7703,22.2
2025,1,4,Jeff,Teat,ATL,CAN,A,50,0.857,53.0
2025,1,4,Brett,Dobson,ARC,WHP,G,49,0.9848,45.0
2025,1,4,Will,Manny,CAN,ATL,A,7,0.4592,44.0
2025,1,4,Ethan,Rall,CAN,ATL,D,15,0.4534,37.0
2025,1,4,Connor,Kirst,CAN,ATL,M,15,0.3183,-2.7
2025,1,4,Graham,Bundy,OUT,RED,M,18,0.3247,10.0
2025,1,5,Trevor,Baptiste,ATL,CAN,FO,45,0.7703,22.2
2025,1,5,Blaze,Riorden,CHA,ATL,G,48,0.9289,38.0
2025,1,5,Jeff,Teat,ATL,CAN,A,50,0.857,53.0
2025,1,5,Will,Manny,CAN,ATL,A,7,0.4592,44.0
2025,1,5,Ethan,Rall,CAN,ATL,D,15,0.4534,37.0
2025,1,5,Brad,Smith,WHP,ARC,M,20,0.3763,8.0
2025,1,5,Connor,Kirst,CAN,ATL,M,15,0.3183,-2.7
2025,2,1,Jackson,Eicher,CHA,RED,A,27,0.6917,1.0
2025,2,1,TJ,Malone,WHP,WAT,A,44,0.8129,50.0
2025,2,1,Colin,Kirst,CAN,ARC,G,24,0.8742,48.0
2025,2,1,Ben,Ramsey,CAN,ARC,D,24,0.5951,13.0
2025,2,1,JJ,Sillstrop,CHA,RED,M,25,0.5031,0.0
2025,2,1,Andrew,McAdorey,RED,CHA,M,27,0.4849,56.5
2025,2,1,Joseph,Nardella,WHP,WAT,FO,27,0.5372,14.9
2025,2,2,Jackson,Eicher,CHA,RED,A,27,0.6917,1.0
2025,2,2,TJ,Malone,WHP,WAT,A,44,0.8129,50.0
2025,2,2,Colin,Kirst,CAN,ARC,G,24,0.8742,48.0
2025,2,2,Ben,Ramsey,CAN,ARC,D,24,0.5951,13.0
