year,week,lineup_rank,firstName,lastName,position,salary,eventId,actualPoints
2025,1,1,Will,Manny,A,7,2025-ev-4,44.0
2025,1,1,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,1,Tom,Schreiber,M,46,2025-ev-3,1.0
2025,1,1,Brad,Smith,M,20,2025-ev-3,8.0
2025,1,1,Ethan,Rall,D,15,2025-ev-4,37.0
2025,1,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,1,Colin,Kirst,G,17,2025-ev-4,33.0
2025,1,2,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,2,Brett,Dobson,G,49,2025-ev-3,45.0
2025,1,2,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,2,Will,Manny,A,7,2025-ev-4,44.0
2025,1,2,Ethan,Rall,D,15,2025-ev-4,37.0
2025,1,2,Graham,Bundy,M,18,2025-ev-2,10.0
2025,1,2,Connor,Kirst,M,15,2025-ev-4,-2.7
2025,1,3,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,3,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,3,Colin,Kirst,G,17,2025-ev-4,33.0
2025,1,3,Tom,Schreiber,M,46,2025-ev-3,1.0
2025,1,3,Will,Manny,A,7,2025-ev-4,44.0
2025,1,3,Ethan,Rall,D,15,2025-ev-4,37.0
2025,1,3,Graham,Bundy,M,18,2025-ev-2,10.0
2025,1,4,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,4,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,4,Colin,Kirst,G,17,2025-ev-4,33.0
2025,1,4,Tom,Schreiber,M,46,2025-ev-3,1.0
2025,1,4,Will,Manny,A,7,2025-ev-4,44.0
2025,1,4,Ethan,Rall,D,15,2025-ev-4,37.0
2025,1,4,Adam,Poitras,M,20,2025-ev-3,8.0
2025,1,5,Jeff,Teat,A,50,2025-ev-4,53.0
2025,1,5,Brett,Dobson,G,49,2025-ev-3,45.0
