year,week,firstName,lastName,position,salary,eventId,actualPoints
2025,1,Colin,Kirst,G,17,2025-ev-4,33.0
2025,1,Rob,Pannell,A,44,2025-ev-3,-1.0
2025,1,TJ,Malone,A,49,2025-ev-3,30.0
2025,1,Trevor,Baptiste,FO,45,2025-ev-4,22.2
2025,1,Kyle,Jackson,M,9,2025-ev-4,20.0
2025,1,Jake,Stevens,M,14,2025-ev-4,15.0
2025,1,Jake,Bernhardt,D,4,2025-ev-3,3.6
2025,2,TJ,Malone,A,44,2025-ev-6,50.0
2025,2,Kieran,McArdle,A,48,2025-ev-6,59.0
2025,2,Aidan,Danenza,M,4,2025-ev-8,-6.0
2025,2,Levi,Anderson,M,16,2025-ev-6,8.0
2025,2,Tim,Muller,D,8,2025-ev-6,1.0
2025,2,Joseph,Nardella,FO,27,2025-ev-6,14.9
2025,2,Blaze,Riorden,G,48,2025-ev-8,35.0
2025,3,Colin,Kirst,G,44,2025-ev-9,24.0
2025,3,Kieran,McArdle,A,48,2025-ev-9,27.0
2025,3,TJ,Malone,A,47,2025-ev-11,52.0
2025,3,Ryan,Ambler,M,7,2025-ev-10,0.0
2025,3,Thomas,McConvey,M,17,2025-ev-12,19.0
2025,3,Luke,Wierman,FO,21,2025-ev-12,10.2
2025,3,Eli,Gobrecht,D,5,2025-ev-9,11.0
2025,4,Michael,Lampert,A,3,2025-ev-13,0.0
2025,4,TJ,Malone,A,46,2025-ev-16,7.0
2025,4,Brad,Smith,M,31,2025-ev-14,18.0
2025,4,Dalton,Young,M,18,2025-ev-15,17.0
2025,4,Ben,Randall,D,23,2025-ev-13,9.0
2025,4,Trevor,Baptiste,FO,35,2025-ev-13,12.4
2025,4,Brett,Dobson,G,44,2025-ev-15,32.0
2025,5,Liam,Entenmann,G,49,2025-ev-18,29.0
2025,5,Dylan,Molloy,A,47,2025-ev-19,15.0
2025,5,Sam,King,A,26,2025-ev-18,5.0
2025,5,TD,Ierlan,FO,37,2025-ev-19,12.1
2025,5,Ryan,Ambler,M,7,2025-ev-18,0.0
2025,5,Charlie,Bertrand,M,18,2025-ev-17,0.0
2025,5,Tyler,Carpenter,D,11,2025-ev-18,3.0
2025,7,TJ,Malone,A,45,2025-ev-26,12.0
2025,7,Asher,Nolting,A,37,2025-ev-23,45.0
2025,7,Hugh,Kelleher,M,5,2025-ev-23,18.0
2025,7,Cross,Ferrara,M,10,2025-ev-25,17.0
2025,7,Ajax,Zappitello,D,27,2025-ev-26,19.0
2025,7,Trevor,Baptiste,FO,35,2025-ev-23,17.6
2025,7,Brett,Dobson,G,41,2025-ev-24,35.0
2025,8,Brennan,O'Neill,A,38,2025-ev-29,46.0
2025,8,Asher,Nolting,A,36,2025-ev-29,45.0
2025,8,Adam,Poitras,M,22,2025-ev-30,0.0
