year,week,firstName,lastName,position,salary,eventId
2025,1,Dylan,Molloy,A,23,2025-ev-2
2025,1,Josh,Zawada,A,16,2025-ev-1
2025,1,Eric,Dobson,M,8,2025-ev-1
2025,1,Dalton,Young,M,17,2025-ev-2
2025,1,Piper,Bond,D,5,2025-ev-3
2025,1,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,Owen,McElroy,G,41,2025-ev-2
2025,2,Kieran,McArdle,A,48,2025-ev-6
2025,2,Michael,Sowers,A,49,2025-ev-6
2025,2,Eric,Dobson,M,8,2025-ev-5
2025,2,Dalton,Young,M,16,2025-ev-5
2025,2,Zach,Goodrich,D,3,2025-ev-7
2025,2,Nick,Rowlett,FO,5,2025-ev-5
2025,2,Matt,DeLuca,G,24,2025-ev-6
2025,3,Connor,Shellenberger,A,43,2025-ev-11
2025,3,Brendan,Krebs,G,13,2025-ev-11
2025,3,Michael,Sowers,A,50,2025-ev-9
2025,3,Charlie,Bertrand,M,15,2025-ev-10
2025,3,Zac,Tucci,FO,28,2025-ev-9
2025,3,Jack,VanOverbeke,M,7,2025-ev-12
2025,3,Piper,Bond,D,6,2025-ev-10
2025,4,Blaze,Riorden,G,48,2025-ev-16
2025,4,Connor,Shellenberger,A,46,2025-ev-13
2025,4,Jeff,Teat,A,41,2025-ev-13
2025,4,Mike,Sisselberger,FO,13,2025-ev-15
2025,4,Sergio,Perkovic,M,9,2025-ev-16
2025,4,Jared,Bernhardt,M,10,2025-ev-15
2025,4,Jake,Bernhardt,D,3,2025-ev-14
