year,week,firstName,lastName,position,salary,eventId
2026,1,Liam,Entenmann,G,47,2026-ev-2
2026,1,Connor,Shellenberger,A,47,2026-ev-2
2026,1,Connor,Fields,A,22,2026-ev-3
2026,1,Matt,Traynor,M,25,2026-ev-2
2026,1,Andrew,McAdorey,M,25,2026-ev-1
2026,1,TD,Ierlan,FO,23,2026-ev-1
2026,1,Greg,Weyl,D,2,2026-ev-3
2026,2,Blaze,Riorden,G,43,2026-ev-5
2026,2,Michael,Sowers,A,50,2026-ev-8
2026,2,Marcus,Holman,A,31,2026-ev-8
2026,2,Andrew,McAdorey,M,23,2026-ev-7
2026,2,Zach,Currier,M,16,2026-ev-8
2026,2,Ethan,Rall,D,17,2026-ev-5
2026,2,TD,Ierlan,FO,18,2026-ev-7
2026,3,Brian,Kelly,A,20,2026-ev-9
2026,3,Brett,Dobson,G,45,2026-ev-11
2026,3,Mitchell,Dunham,D,14,2026-ev-11
2026,3,Michael,Sowers,A,46,2026-ev-12
2026,3,Trevor,Baptiste,FO,26,2026-ev-10
2026,3,Matt,Brandau,M,28,2026-ev-9
2026,3,Zach,Currier,M,18,2026-ev-12
2026,4,CJ,Kirst,A,47,2026-ev-16
2026,4,Michael,Sowers,A,44,2026-ev-16
2026,4,Zach,Currier,M,20,2026-ev-16
2026,4,Tre,Leclaire,M,7,2026-ev-13
2026,4,Mitchell,Dunham,D,14,2026-ev-13
2026,4,Trevor,Baptiste,FO,23,2026-ev-14
2026,4,Logan,McNaney,G,43,2026-ev-15
2026,5,Brett,Dobson,G,48,2026-ev-18
2026,5,Chris,Kavanagh,A,39,2026-ev-18
2026,5,Connor,Shellenberger,A,37,2026-ev-19
2026,5,Andrew,McMeekin,FO,17,2026-ev-17
2026,5,Mitchell,Dunham,D,12,2026-ev-18
2026,5,Andrew,McAdorey,M,24,2026-ev-18
2026,5,Matt,Traynor,M,17,2026-ev-19
2026,6,Leo,Johnson,M,18,2026-ev-23
2026,6,Blaze,Riorden,G,43,2026-ev-24
2026,6,Sam,King,M,27,2026-ev-23
2026,6,Michael,Sowers,A,42,2026-ev-23
2026,6,Marcus,Holman,A,37,2026-ev-22
2026,6,Andrew,McMeekin,FO,22,2026-ev-22
2026,6,Cullen,Brown,D,11,2026-ev-24
2026,8,Blaze,Riorden,G,46,2026-ev-26
2026,8,Connor,Shellenberger,A,40,2026-ev-27
2026,8,Sam,King,M,26,2026-ev-27
2026,8,Ty,English,D,18,2026-ev-26
2026,8,Kieran,McArdle,A,26,2026-ev-25
2026,8,Andrew,McMeekin,FO,25,2026-ev-28
2026,8,Matt,Collison,M,18,2026-ev-25
2026,9,Brett,Dobson,G,45,2026-ev-31
2026,9,Connor,Shellenberger,A,39,2026-ev-32
2026,9,Trevor,Baptiste,FO,25,2026-ev-32
2026,9,Ty,English,D,28,2026-ev-30
2026,9,Connor,Fields,A,27,2026-ev-31
2026,9,Jack,Regnery,M,22,2026-ev-32
2026,9,Teddy,Malone,M,12,2026-ev-30
2026,10,Brett,Dobson,G,44,2026-ev-36
2026,10,Connor,Shellenberger,A,39,2026-ev-34
2026,10,Marcus,Holman,A,38,2026-ev-35
2026,10,Trevor,Baptiste,FO,22,2026-ev-34
2026,10,Teddy,Malone,M,17,2026-ev-35
2026,10,Ty,English,D,23,2026-ev-35
2026,10,Jack,Hannah,M,16,2026-ev-20
2026,11,Blaze,Riorden,G,40,2026-ev-40
2026,11,Joey,Spallina,A,39,2026-ev-39
2026,11,Marcus,Holman,A,38,2026-ev-38
2026,11,Sam,King,M,31,2026-ev-38
2026,11,Trevor,Baptiste,FO,19,2026-ev-41
2026,11,Jack,Regnery,M,21,2026-ev-38
2026,11,Gavin,Adler,D,9,2026-ev-40
2026,12,Brett,Dobson,G,48,2026-ev-43
2026,12,Joey,Spallina,A,47,2026-ev-42
2026,12,Teddy,Malone,M,25,2026-ev-43
2026,12,Trevor,Baptiste,FO,19,2026-ev-44
2026,12,Owen,Hiltz,A,25,2026-ev-43
2026,12,Andrew,McAdorey,M,22,2026-ev-45
2026,12,Mason,Woodward,D,14,2026-ev-43
