year,week,lineup_rank,firstName,lastName,position,salary,eventId
2025,1,1,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,1,Blaze,Riorden,G,48,2025-ev-1
2025,1,1,Jeff,Teat,A,50,2025-ev-4
2025,1,1,Will,Manny,A,7,2025-ev-4
2025,1,1,Ryan,Drenner,M,22,2025-ev-4
2025,1,1,Brad,Smith,M,20,2025-ev-3
2025,1,1,Owen,Grant,D,5,2025-ev-4
2025,1,2,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,2,Blaze,Riorden,G,48,2025-ev-1
2025,1,2,Jeff,Teat,A,50,2025-ev-4
2025,1,2,Will,Manny,A,7,2025-ev-4
2025,1,2,Ryan,Drenner,M,22,2025-ev-4
2025,1,2,Owen,Grant,D,5,2025-ev-4
2025,1,2,Adam,Poitras,M,20,2025-ev-3
2025,1,3,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,3,Blaze,Riorden,G,48,2025-ev-1
2025,1,3,Jeff,Teat,A,50,2025-ev-4
2025,1,3,Will,Manny,A,7,2025-ev-4
2025,1,3,Ryan,Drenner,M,22,2025-ev-4
2025,1,3,Owen,Grant,D,5,2025-ev-4
2025,1,3,Connor,Kirst,M,15,2025-ev-4
2025,1,4,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,4,Blaze,Riorden,G,48,2025-ev-1
2025,1,4,Jeff,Teat,A,50,2025-ev-4
2025,1,4,Will,Manny,A,7,2025-ev-4
2025,1,4,Ryan,Drenner,M,22,2025-ev-4
2025,1,4,Owen,Grant,D,5,2025-ev-4
2025,1,4,Graham,Bundy,M,18,2025-ev-2
2025,1,5,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,5,Blaze,Riorden,G,48,2025-ev-1
2025,1,5,Jeff,Teat,A,50,2025-ev-4
2025,1,5,Will,Manny,A,7,2025-ev-4
2025,1,5,Ethan,Rall,D,15,2025-ev-4
2025,1,5,Brad,Smith,M,20,2025-ev-3
2025,1,5,Connor,Kirst,M,15,2025-ev-4
